season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,2,BUF,REG,2025_02_BUF_NYJ,NYJ,15,27,180,0,0,1,-1,0,0,146,105,9,0.272271557335453,-9.08146715164185,0,43,224,3,1,0,12,9.72542606380075,0,15,25,180,0,0,0,146,105,9,4.45493882618303,0,0,31,2,20,5,37,3,4,29,7,0,0,4,0,0,0,0,1,1,1,1,0,6,69,4,4,22,2,47,3,3,0,0,52,1,0,1,1,0,1,0,0,0,0,0,0,0,28;52;33,,,113,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,MIA,REG,2025_02_NE_MIA,NE,26,32,315,2,1,5,-18,0,0,251,145,15,9.932129502697,13.7456484138966,0,15,61,0,0,0,1,-1.09822814585641,0,26,32,315,2,0,0,251,145,15,16.3731073631996,0,1,32,2,32,4,25,0,3,19,3,0,0,2,0,0,0,0,0,0,0,0,0,10,65,5,2,93,6,128,2,2,0,0,44,1,0,0,0,2,0,0,0,0,0,0,0,0,40;44,,,84,0,0,3,3,0,0,1,0,0,0,0,0
2025,2,NE,REG,2025_02_NE_MIA,MIA,19,23,230,2,0,3,-19,0,0,134,129,9,14.9905001481407,13.9967002298521,0,29,122,1,0,0,9,3.23742522897385,1,19,23,230,2,0,0,134,129,9,19.5007077430951,0,1,39,3,19,6,22,0,5,18,5,1,20,2,0,0,0,0,1,2,0,0,0,12,75,4,1,8,6,171,2,2,0,0,53,1,0,1,0,0,1,0,0,0,0,0,0,0,22;53,,,75,0,0,1,3,2,0,0.333333333333333,0,0,0,0,0
2025,2,NYJ,REG,2025_02_BUF_NYJ,BUF,10,22,83,1,0,4,-29,1,0,172,23,5,-4.1276074651978,-17.0925009818304,0,21,100,0,1,1,5,-9.75268497626764,0,10,21,83,1,1,0,172,23,5,2.49117202992784,0,0,36,4,40,4,9,1,1,1,2,0,0,6,0,0,0,0,2,2,0,0,0,5,35,4,1,11,7,174,1,1,0,0,51,1,0,0,0,0,1,0,0,0,0,0,0,0,51,,,51,0,0,1,1,0,0,1,0,0,0,0,0
2025,3,BUF,REG,2025_03_MIA_BUF,MIA,22,28,213,3,0,2,-10,0,0,111,160,12,10.6495221594861,7.68089393774668,0,27,157,1,1,0,9,5.15529626754969,0,22,27,213,3,0,0,111,160,12,12.4366789832711,0,0,40,0,20,5,15,0,0,0,1,1,24,3,0,1,0,0,2,3,0,0,0,3,35,5,2,15,3,95,1,2,1,0,48,0.5,0,0,0,1,0,0,0,0,1,0,0,0,48,39,,48,39,0,4,4,0,0,1,0,0,0,0,0
2025,3,MIA,REG,2025_03_MIA_BUF,BUF,22,34,146,2,1,0,0,0,0,204,117,11,0.147440837870818,-1.68731122305899,0,25,130,1,1,0,9,3.01154395902995,0,22,33,146,2,0,0,204,117,11,0.709284920070786,0,0,44,0,14,2,8,0,2,10,2,0,0,3,0,0,0,0,1,1,0,0,0,6,57,5,2,22,5,152,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2025,4,MIA,REG,2025_04_NYJ_MIA,NYJ,17,25,177,2,0,0,0,0,0,137,90,12,10.3779438983335,-1.6991593837738,0,31,123,1,2,0,7,-3.11548017388682,0,17,25,177,2,0,0,137,90,12,10.3779438983335,0,0,42,1,19,5,22,3,2,19,3,0,0,3,0,0,0,0,2,3,3,3,0,6,40,5,0,0,3,96,2,2,0,0,47,1,0,0,1,1,0,0,0,0,0,0,0,0,47;36,,,83,0,0,3,3,0,0,1,0,0,0,0,0
2025,4,NYJ,REG,2025_04_NYJ_MIA,MIA,20,27,226,1,0,2,-19,1,1,205,86,12,5.60872867804978,5.08604866487009,0,28,197,1,1,1,9,3.60391339495266,1,20,27,226,1,0,0,205,86,12,10.4048846670452,0,0,31,1,33,2,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,101,5,1,18,5,162,2,2,0,0,58,1,0,0,0,0,2,0,0,0,0,0,0,0,58;50,,,108,0,0,1,1,0,0,1,0,0,0,0,0
2025,5,BUF,REG,2025_05_NE_BUF,NE,22,31,253,2,1,1,-8,0,0,246,99,16,10.6458982455955,5.94098175565402,0,29,118,0,1,1,6,-3.98307786282385,0,22,30,253,2,1,1,246,99,16,8.26993633960986,0,0,44,1,13,6,9,2,4,6,8,0,0,1,0,0,0,0,0,1,1,1,0,11,90,6,0,0,5,127,2,2,0,0,45,1,0,0,1,1,0,0,0,0,0,0,0,0,31;45,,,76,0,0,2,2,0,0,1,0,0,0,0,0
2025,5,NE,REG,2025_05_NE_BUF,BUF,22,30,273,0,0,4,-6,0,0,213,100,13,9.73183957793173,13.7561213757311,0,22,71,2,0,0,5,-0.910297991533298,0,22,28,273,0,1,1,213,100,13,9.75852672211697,0,0,38,1,31,2,7,1,1,8,5,1,0,3,0,0,0,0,1,1,2,2,0,8,93,4,1,0,5,112,3,3,0,0,52,1,1,0,1,0,1,0,0,0,0,0,0,0,30;19;52,,,101,0,0,2,2,0,0,1,1,1,0,0,52
